Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Life expectancy"
"Luxembourg","Europe","LUX","National","LUXt","Total",0.930,82.63
"Madagascar","Africa","MDG","National","MDGt","Total",0.501,64.49
"Malawi","Africa","MWI","National","MWIt","Total",0.512,62.90
"Malaysia","Asia/Pacific","MYS","National","MYSt","Total",0.803,74.88
"Maldives","Asia/Pacific","MDV","National","MDVt","Total",0.747,79.92
"Mali","Africa","MLI","National","MLIt","Total",0.428,58.94
"Mauritania","Africa","MRT","National","MRTt","Total",0.556,64.36
"Mauritius","Africa","MUS","National","MUSt","Total",0.802,73.56
"Mexico","America","MEX","National","MEXt","Total",0.758,70.21
"Micronesia (Federated States of)","Asia/Pacific","FSM","National","FSMt","Total",0.628,70.71
"Moldova","Europe","MDA","National","MDAt","Total",0.767,68.85
"Mongolia","Asia/Pacific","MNG","National","MNGt","Total",0.739,70.98
"Monte Negro","Europe","MNE","National","MNEt","Total",0.832,76.34
"Morocco","Africa","MAR","National","MARt","Total",0.683,74.04
"Mozambique","Africa","MOZ","National","MOZt","Total",0.446,59.33
"Myanmar","Asia/Pacific","MMR","National","MMRt","Total",0.585,65.67
"Namibia","Africa","NAM","National","NAMt","Total",0.615,59.27
"Nepal","Asia/Pacific","NPL","National","NPLt","Total",0.602,68.45
"Netherlands","Europe","NLD","National","NLDt","Total",0.941,81.69
"New Zealand","Asia/Pacific","NZL","National","NZLt","Total",0.937,82.45
"Nicaragua","America","NIC","National","NICt","Total",0.667,73.84
"Niger","Africa","NER","National","NERt","Total",0.400,61.58
"Nigeria","Africa","NGA","National","NGAt","Total",0.535,52.68
"North Macedonia","Europe","MKD","National","MKDt","Total",0.770,73.84
"Norway","Europe","NOR","National","NORt","Total",0.961,83.23
"Oman","Asia/Pacific","OMN","National","OMNt","Total",0.816,72.54
"Pakistan","Asia/Pacific","PAK","National","PAKt","Total",0.544,66.10
"Palestine","Asia/Pacific","PSE","National","PSEt","Total",0.715,73.47
"Panama","America","PAN","National","PANt","Total",0.805,76.22
"Papua New Guinea","Asia/Pacific","PNG","National","PNGt","Total",0.558,65.35
"Paraguay","America","PRY","National","PRYt","Total",0.717,70.26
"Peru","America","PER","National","PERt","Total",0.762,72.38
"Philippines","Asia/Pacific","PHL","National","PHLt","Total",0.699,69.27
"Poland","Europe","POL","National","POLt","Total",0.876,76.46
"Portugal","Europe","PRT","National","PRTt","Total",0.866,81.04
"Qatar","Asia/Pacific","QAT","National","QATt","Total",0.855,79.27
"Romania","Europe","ROU","National","ROUt","Total",0.821,74.19
"Russian Federation","Europe","RUS","National","RUSt","Total",0.822,69.42
"Rwanda","Africa","RWA","National","RWAt","Total",0.534,66.07
"Saint Kitts and Nevis","America","KNA","National","KNAt","Total",0.777,71.68
"Saint Lucia","America","LCA","National","LCAt","Total",0.715,71.11
"Saint Vincent and the Grenadines","America","VCT","National","VCTt","Total",0.751,69.63
"Samoa","Asia/Pacific","WSM","National","WSMt","Total",0.707,72.77
"Sao Tome & Principe","Africa","STP","National","STPt","Total",0.618,67.59
"Saudi Arabia","Asia/Pacific","SAU","National","SAUt","Total",0.875,76.94
