Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Mean years schooling"
"Libya","Africa","LBY","National","LBYt","Total",0.718,7.600
"Liechtenstein","Europe","LIE","National","LIEt","Total",0.935,12.54
"Lithuania","Europe","LTU","National","LTUt","Total",0.875,13.50
"Luxembourg","Europe","LUX","National","LUXt","Total",0.930,13.02
"Madagascar","Africa","MDG","National","MDGt","Total",0.501,5.120
"Malawi","Africa","MWI","National","MWIt","Total",0.512,4.490
"Malaysia","Asia/Pacific","MYS","National","MYSt","Total",0.803,10.65
"Maldives","Asia/Pacific","MDV","National","MDVt","Total",0.747,7.322
"Mali","Africa","MLI","National","MLIt","Total",0.428,2.310
"Mauritania","Africa","MRT","National","MRTt","Total",0.556,4.919
"Mauritius","Africa","MUS","National","MUSt","Total",0.802,10.43
"Mexico","America","MEX","National","MEXt","Total",0.758,9.221
"Micronesia (Federated States of)","Asia/Pacific","FSM","National","FSMt","Total",0.628,7.805
"Moldova","Europe","MDA","National","MDAt","Total",0.767,11.82
"Mongolia","Asia/Pacific","MNG","National","MNGt","Total",0.739,9.424
"Monte Negro","Europe","MNE","National","MNEt","Total",0.832,12.18
"Morocco","Africa","MAR","National","MARt","Total",0.683,5.916
"Mozambique","Africa","MOZ","National","MOZt","Total",0.446,3.198
"Myanmar","Asia/Pacific","MMR","National","MMRt","Total",0.585,6.377
"Namibia","Africa","NAM","National","NAMt","Total",0.615,7.192
"Nepal","Asia/Pacific","NPL","National","NPLt","Total",0.602,5.122
"Netherlands","Europe","NLD","National","NLDt","Total",0.941,12.58
"New Zealand","Asia/Pacific","NZL","National","NZLt","Total",0.937,12.95
"Nicaragua","America","NIC","National","NICt","Total",0.667,7.144
"Niger","Africa","NER","National","NERt","Total",0.400,2.117
"Nigeria","Africa","NGA","National","NGAt","Total",0.535,7.181
"North Macedonia","Europe","MKD","National","MKDt","Total",0.770,10.23
"Norway","Europe","NOR","National","NORt","Total",0.961,13.00
"Oman","Asia/Pacific","OMN","National","OMNt","Total",0.816,11.65
"Pakistan","Asia/Pacific","PAK","National","PAKt","Total",0.544,4.536
"Palestine","Asia/Pacific","PSE","National","PSEt","Total",0.715,9.938
"Panama","America","PAN","National","PANt","Total",0.805,10.54
"Papua New Guinea","Asia/Pacific","PNG","National","PNGt","Total",0.558,4.740
"Paraguay","America","PRY","National","PRYt","Total",0.717,8.862
"Peru","America","PER","National","PERt","Total",0.762,9.886
"Philippines","Asia/Pacific","PHL","National","PHLt","Total",0.699,8.969
"Poland","Europe","POL","National","POLt","Total",0.876,13.17
"Portugal","Europe","PRT","National","PRTt","Total",0.866,9.576
"Qatar","Asia/Pacific","QAT","National","QATt","Total",0.855,9.996
"Romania","Europe","ROU","National","ROUt","Total",0.821,11.28
"Russian Federation","Europe","RUS","National","RUSt","Total",0.822,12.77
"Rwanda","Africa","RWA","National","RWAt","Total",0.534,4.425
"Saint Kitts and Nevis","America","KNA","National","KNAt","Total",0.777,8.663
"Saint Lucia","America","LCA","National","LCAt","Total",0.715,8.545
"Saint Vincent and the Grenadines","America","VCT","National","VCTt","Total",0.751,10.83
"Samoa","Asia/Pacific","WSM","National","WSMt","Total",0.707,11.40
"Sao Tome & Principe","Africa","STP","National","STPt","Total",0.618,6.216
"Saudi Arabia","Asia/Pacific","SAU","National","SAUt","Total",0.875,11.31
"Senegal","Africa","SEN","National","SENt","Total",0.511,2.938
"Serbia","Europe","SRB","National","SRBt","Total",0.802,11.37
"Sierra Leone","Africa","SLE","National","SLEt","Total",0.477,4.576
"Singapore","Asia/Pacific","SGP","National","SGPt","Total",0.939,11.93
"Slovakia","Europe","SVK","National","SVKt","Total",0.848,12.91
"Slovenia","Europe","SVN","National","SVNt","Total",0.918,12.80
"Solomon Islands","Asia/Pacific","SLB","National","SLBt","Total",0.564,5.712
"Somalia","Africa","SOM","National","SOMt","Total",0.361,5.180
"South Africa","Africa","ZAF","National","ZAFt","Total",0.713,11.37
"South Korea","Asia/Pacific","KOR","National","KORt","Total",0.925,12.51
"South Sudan","Africa","SSD","National","SSDt","Total",0.385,5.726
"Spain","Europe","ESP","National","ESPt","Total",0.905,10.61
"Sri Lanka","Asia/Pacific","LKA","National","LKAt","Total",0.782,10.83
"Sudan","Africa","SDN","National","SDNt","Total",0.508,3.820
"Suriname","America","SUR","National","SURt","Total",0.730,9.777
"Sweden","Europe","SWE","National","SWEt","Total",0.947,12.61
"Switzerland","Europe","CHE","National","CHEt","Total",0.962,13.86
"Syria","Asia/Pacific","SYR","National","SYRt","Total",0.577,5.100
"Tajikistan","Asia/Pacific","TJK","National","TJKt","Total",0.685,11.33
"Tanzania","Africa","TZA","National","TZAt","Total",0.549,6.373
"Thailand","Asia/Pacific","THA","National","THAt","Total",0.800,8.697
"Timor Leste","Asia/Pacific","TLS","National","TLSt","Total",0.607,5.437
"Togo","Africa","TGO","National","TGOt","Total",0.539,5.017
"Tonga","Asia/Pacific","TON","National","TONt","Total",0.745,11.39
"Trinidad & Tobago","America","TTO","National","TTOt","Total",0.810,11.61
"Tunisia","Africa","TUN","National","TUNt","Total",0.731,7.432
"Turkey","Asia/Pacific","TUR","National","TURt","Total",0.838,8.633
"Turkmenistan","Asia/Pacific","TKM","National","TKMt","Total",0.745,11.26
"Tuvalu","Asia/Pacific","TUV","National","TUVt","Total",0.641,10.57
"Uganda","Africa","UGA","National","UGAt","Total",0.525,5.731
"Ukraine","Europe","UKR","National","UKRt","Total",0.773,11.13
"United Arab Emirates","Asia/Pacific","ARE","National","AREt","Total",0.911,12.69
"United Kingdom","Europe","GBR","National","GBRt","Total",0.929,13.41
"United States","America","USA","National","USAt","Total",0.921,13.68
"Uruguay","America","URY","National","URYt","Total",0.809,8.983
"Uzbekistan","Asia/Pacific","UZB","National","UZBt","Total",0.727,11.90
"Vanuatu","Asia/Pacific","VUT","National","VUTt","Total",0.607,7.065
"Venezuela","America","VEN","National","VENt","Total",0.691,11.11
"Vietnam","Asia/Pacific","VNM","National","VNMt","Total",0.703,8.370
"Yemen","Asia/Pacific","YEM","National","YEMt","Total",0.455,3.200
"Zambia","Africa","ZMB","National","ZMBt","Total",0.565,7.187
"Zimbabwe","Africa","ZWE","National","ZWEt","Total",0.593,8.711
