Country,Continent,ISO_Code,Level,GDLCODE,Region,"Subnational HDI","Expected years schooling"
"Maldives","Asia/Pacific","MDV","National","MDVt","Total",0.747,12.64
"Mali","Africa","MLI","National","MLIt","Total",0.428,7.423
"Mauritania","Africa","MRT","National","MRTt","Total",0.556,9.376
"Mauritius","Africa","MUS","National","MUSt","Total",0.802,15.17
"Mexico","America","MEX","National","MEXt","Total",0.758,14.86
"Micronesia (Federated States of)","Asia/Pacific","FSM","National","FSMt","Total",0.628,11.55
"Moldova","Europe","MDA","National","MDAt","Total",0.767,14.43
"Mongolia","Asia/Pacific","MNG","National","MNGt","Total",0.739,14.98
"Monte Negro","Europe","MNE","National","MNEt","Total",0.832,15.08
"Morocco","Africa","MAR","National","MARt","Total",0.683,14.15
"Mozambique","Africa","MOZ","National","MOZt","Total",0.446,10.22
"Myanmar","Asia/Pacific","MMR","National","MMRt","Total",0.585,10.91
"Namibia","Africa","NAM","National","NAMt","Total",0.615,11.93
"Nepal","Asia/Pacific","NPL","National","NPLt","Total",0.602,12.89
"Netherlands","Europe","NLD","National","NLDt","Total",0.941,18.00
"New Zealand","Asia/Pacific","NZL","National","NZLt","Total",0.937,18.00
"Nicaragua","America","NIC","National","NICt","Total",0.667,12.64
"Niger","Africa","NER","National","NERt","Total",0.400,6.957
"Nigeria","Africa","NGA","National","NGAt","Total",0.535,10.13
"North Macedonia","Europe","MKD","National","MKDt","Total",0.770,13.62
"Norway","Europe","NOR","National","NORt","Total",0.961,18.00
"Oman","Asia/Pacific","OMN","National","OMNt","Total",0.816,14.57
"Pakistan","Asia/Pacific","PAK","National","PAKt","Total",0.544,8.658
"Palestine","Asia/Pacific","PSE","National","PSEt","Total",0.715,13.36
"Panama","America","PAN","National","PANt","Total",0.805,13.06
"Papua New Guinea","Asia/Pacific","PNG","National","PNGt","Total",0.558,10.36
"Paraguay","America","PRY","National","PRYt","Total",0.717,12.99
"Peru","America","PER","National","PERt","Total",0.762,15.39
